iter	Passed	Remaining
575	3460	2547
576	3466	2541
577	3471	2534
578	3477	2528
579	3482	2521
580	3488	2515
581	3494	2509
582	3499	2503
583	3505	2496
584	3510	2490
585	3516	2484
586	3521	2477
587	3527	2471
588	3532	2465
589	3538	2458
590	3543	2452
591	3549	2446
592	3555	2440
593	3561	2434
594	3566	2427
595	3572	2421
596	3578	2415
597	3583	2409
598	3589	2402
599	3594	2396
600	3600	2390
601	3606	2384
602	3611	2377
603	3617	2371
604	3623	2365
605	3629	2359
606	3635	2353
607	3640	2347
608	3646	2340
609	3651	2334
610	3657	2328
611	3662	2321
612	3668	2316
613	3674	2309
614	3680	2303
615	3686	2297
616	3691	2291
617	3697	2285
618	3702	2279
619	3708	2272
620	3714	2266
621	3720	2260
622	3726	2254
623	3732	2248
624	3738	2242
625	3743	2236
626	3748	2230
627	3754	2224
628	3760	2218
629	3766	2211
630	3772	2205
631	3777	2199
632	3783	2193
633	3788	2187
634	3794	2180
635	3799	2174
636	3805	2168
637	3810	2162
638	3816	2156
639	3822	2150
640	3828	2144
641	3834	2138
642	3840	2132
643	3846	2126
644	3851	2119
645	3857	2113
646	3863	2107
647	3868	2101
648	3874	2095
649	3879	2089
650	3885	2082
651	3890	2076
652	3896	2070
653	3902	2064
654	3907	2058
655	3913	2052
656	3919	2046
657	3924	2039
658	3929	2033
659	3935	2027
660	3941	2021
661	3947	2015
662	3953	2009
663	3958	2003
664	3964	1996
665	3969	1990
666	3975	1984
667	3980	1978
668	3986	1972
669	3991	1966
670	3997	1960
671	4003	1954
672	4009	1948
673	4015	1941
674	4020	1935
675	4026	1929
676	4031	1923
677	4037	1917
678	4042	1911
679	4048	1905
680	4053	1898
681	4059	1892
682	4065	1886
683	4071	1880
684	4077	1875
685	4082	1868
686	4088	1862
687	4094	1856
688	4100	1850
689	4105	1844
690	4111	1838
691	4117	1832
692	4123	1826
693	4128	1820
694	4134	1814
695	4140	1808
696	4145	1802
697	4151	1796
698	4156	1790
699	4162	1783
700	4167	1777
701	4173	1771
702	4179	1765
703	4184	1759
704	4190	1753
705	4195	1747
706	4201	1741
707	4206	1735
708	4212	1728
709	4217	1722
710	4223	1716
711	4228	1710
712	4234	1704
713	4240	1698
714	4245	1692
715	4251	1686
716	4257	1680
717	4262	1674
718	4268	1668
719	4274	1662
720	4280	1656
721	4287	1650
722	4292	1644
723	4298	1638
724	4304	1632
725	4310	1626
726	4315	1620
727	4321	1614
728	4326	1608
729	4332	1602
730	4338	1596
731	4343	1590
732	4349	1584
733	4354	1578
734	4360	1572
735	4365	1566
736	4371	1559
737	4376	1553
738	4382	1547
739	4387	1541
740	4393	1535
741	4398	1529
742	4404	1523
743	4410	1517
744	4415	1511
745	4421	1505
746	4426	1499
747	4432	1493
748	4437	1487
749	4443	1481
750	4449	1475
751	4454	1469
752	4460	1463
753	4466	1457
754	4471	1451
755	4477	1445
756	4483	1439
757	4489	1433
758	4494	1427
759	4501	1421
760	4507	1415
761	4513	1409
762	4518	1403
763	4524	1397
764	4529	1391
765	4535	1385
766	4541	1379
767	4547	1373
768	4552	1367
769	4558	1361
770	4563	1355
771	4569	1349
772	4574	1343
773	4580	1337
774	4585	1331
775	4591	1325
776	4597	1319
777	4602	1313
778	4608	1307
779	4613	1301
780	4619	1295
781	4624	1289
782	4630	1283
783	4636	1277
784	4642	1271
785	4648	1265
786	4654	1259
787	4660	1253
788	4666	1247
789	4672	1242
790	4678	1236
791	4684	1230
792	4689	1224
793	4694	1218
794	4700	1212
795	4706	1206
796	4711	1200
797	4718	1194
798	4724	1188
799	4730	1182
800	4736	1176
801	4742	1170
802	4748	1164
803	4755	1159
804	4762	1153
805	4768	1147
806	4774	1141
807	4779	1135
808	4785	1129
809	4790	1123
810	4796	1117
811	4801	1111
812	4807	1105
813	4813	1099
814	4819	1093
815	4824	1087
816	4830	1081
817	4835	1075
818	4841	1069
819	4846	1063
820	4852	1058
821	4858	1052
822	4864	1046
823	4870	1040
824	4876	1034
825	4882	1028
826	4888	1022
827	4894	1016
828	4900	1010
829	4905	1004
830	4911	998
831	4917	992
832	4922	986
833	4927	980
834	4933	974
835	4939	968
836	4944	962
837	4950	956
838	4955	950
839	4961	944
840	4966	939
841	4972	933
842	4978	927
843	4984	921
844	4990	915
845	4996	909
846	5002	903
847	5008	897
848	5013	891
849	5019	885
850	5025	879
851	5031	873
852	5036	868
853	5042	862
854	5047	856
855	5053	850
856	5058	844
857	5064	838
858	5070	832
859	5076	826
860	5081	820
861	5087	814
862	5092	808
863	5098	802
864	5105	796
865	5111	790
866	5117	785
867	5123	779
868	5128	773
869	5134	767
870	5139	761
871	5145	755
872	5150	749
873	5155	743
874	5161	737
875	5167	731
876	5172	725
877	5178	719
878	5183	713
879	5188	707
880	5194	701
881	5200	695
882	5205	689
883	5211	683
884	5217	677
885	5222	672
886	5229	666
887	5234	660
888	5240	654
889	5245	648
890	5251	642
891	5258	636
892	5264	630
893	5270	624
894	5276	619
895	5282	613
896	5287	607
897	5293	601
898	5298	595
899	5304	589
900	5310	583
901	5316	577
902	5321	571
903	5327	565
904	5333	559
905	5339	554
906	5346	548
907	5352	542
908	5359	536
909	5365	530
